RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.18324626
queryResults	DOCUMENT	201	0.04065724
queryResults	DOCUMENT	202	0.01095760
queryResults	DOCUMENT	203	0.41735666
queryResults	DOCUMENT	204	0.31337585
queryResults	DOCUMENT	205	0.12277884
queryResults	DOCUMENT	206	0.21915956
queryResults	DOCUMENT	207	0.03179997
queryResults	DOCUMENT	208	0.13356080
queryResults	DOCUMENT	209	0.16424956
queryResults	DOCUMENT	210	0.04031151
queryResults	DOCUMENT	211	0.18236907
queryResults	DOCUMENT	212	0.30890096
queryResults	DOCUMENT	213	0.50231659
queryResults	DOCUMENT	214	0.31095962
queryResults	DOCUMENT	215	0.19089940
queryResults	DOCUMENT	216	0.04010103
queryResults	DOCUMENT	217	0.00154387
queryResults	DOCUMENT	218	0.21858645
queryResults	DOCUMENT	219	0.02145604
queryResults	DOCUMENT	220	0.46507937
queryResults	DOCUMENT	221	0.29046817
queryResults	DOCUMENT	222	0.07063718
queryResults	DOCUMENT	223	0.15978026
queryResults	DOCUMENT	224	0.20033670
queryResults	DOCUMENT	225	0.02631579
queryResults	DOCUMENT	226	0.17912389
queryResults	DOCUMENT	227	0.05141165
queryResults	DOCUMENT	228	0.00769536
queryResults	DOCUMENT	229	0.40547333
queryResults	DOCUMENT	230	0.19548576
queryResults	DOCUMENT	231	0.01187859
queryResults	DOCUMENT	232	0.11535773
queryResults	DOCUMENT	233	0.04864016
queryResults	DOCUMENT	234	0.11876864
queryResults	DOCUMENT	235	0.19176854
queryResults	DOCUMENT	MAP	0.16646689
