RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.43743699
queryResults	DOCUMENT	201	0.04875332
queryResults	DOCUMENT	202	0.02208441
queryResults	DOCUMENT	203	0.62456589
queryResults	DOCUMENT	204	0.62213195
queryResults	DOCUMENT	205	0.19953147
queryResults	DOCUMENT	206	0.49976364
queryResults	DOCUMENT	207	0.07357869
queryResults	DOCUMENT	208	0.33657082
queryResults	DOCUMENT	209	0.19200541
queryResults	DOCUMENT	210	0.07310703
queryResults	DOCUMENT	211	0.25335065
queryResults	DOCUMENT	212	0.33129501
queryResults	DOCUMENT	213	0.49975792
queryResults	DOCUMENT	214	0.22769415
queryResults	DOCUMENT	215	0.27775194
queryResults	DOCUMENT	216	0.05650283
queryResults	DOCUMENT	217	0.00067840
queryResults	DOCUMENT	218	0.20476444
queryResults	DOCUMENT	219	0.04623762
queryResults	DOCUMENT	220	0.73208227
queryResults	DOCUMENT	221	0.24367337
queryResults	DOCUMENT	222	0.08452381
queryResults	DOCUMENT	223	0.30358690
queryResults	DOCUMENT	224	0.11870370
queryResults	DOCUMENT	225	0.10000000
queryResults	DOCUMENT	226	0.07007490
queryResults	DOCUMENT	227	0.08999513
queryResults	DOCUMENT	228	0.00345662
queryResults	DOCUMENT	229	0.53556608
queryResults	DOCUMENT	230	0.21566756
queryResults	DOCUMENT	231	0.01117641
queryResults	DOCUMENT	232	0.18071983
queryResults	DOCUMENT	233	0.07170819
queryResults	DOCUMENT	234	0.07183461
queryResults	DOCUMENT	235	0.14139884
queryResults	DOCUMENT	MAP	0.22227030
