RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.37933487
queryResults	DOCUMENT	201	0.81904121
queryResults	DOCUMENT	202	0.05099002
queryResults	DOCUMENT	203	0.63928200
queryResults	DOCUMENT	204	0.64243986
queryResults	DOCUMENT	205	0.20866505
queryResults	DOCUMENT	206	0.51454098
queryResults	DOCUMENT	207	0.05956428
queryResults	DOCUMENT	208	0.30770564
queryResults	DOCUMENT	209	0.48916131
queryResults	DOCUMENT	210	0.06042389
queryResults	DOCUMENT	211	0.31318467
queryResults	DOCUMENT	212	0.39294471
queryResults	DOCUMENT	213	0.52106900
queryResults	DOCUMENT	214	0.53361859
queryResults	DOCUMENT	215	0.43911118
queryResults	DOCUMENT	216	0.11774893
queryResults	DOCUMENT	217	0.00312558
queryResults	DOCUMENT	218	0.28045391
queryResults	DOCUMENT	219	0.14325650
queryResults	DOCUMENT	220	0.97619048
queryResults	DOCUMENT	221	0.00002425
queryResults	DOCUMENT	222	0.10051020
queryResults	DOCUMENT	223	0.24178662
queryResults	DOCUMENT	224	0.07667462
queryResults	DOCUMENT	225	0.09090909
queryResults	DOCUMENT	226	0.32393735
queryResults	DOCUMENT	227	0.17249845
queryResults	DOCUMENT	228	0.00489314
queryResults	DOCUMENT	229	0.50970027
queryResults	DOCUMENT	230	0.10349571
queryResults	DOCUMENT	231	0.12953343
queryResults	DOCUMENT	232	0.07995282
queryResults	DOCUMENT	233	0.07184560
queryResults	DOCUMENT	234	0.10887508
queryResults	DOCUMENT	235	0.17558217
queryResults	DOCUMENT	MAP	0.28005754
