RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	1	0.01444444
queryResults	DOCUMENT	2	0.05939394
queryResults	DOCUMENT	3	0.05319149
queryResults	DOCUMENT	4	0.36000000
queryResults	DOCUMENT	5	0.20000000
queryResults	DOCUMENT	6	0.09538240
queryResults	DOCUMENT	7	0.11858974
queryResults	DOCUMENT	8	0.00657895
queryResults	DOCUMENT	9	0.05534979
queryResults	DOCUMENT	10	0.03461538
queryResults	DOCUMENT	11	0.03093682
queryResults	DOCUMENT	12	0.11089744
queryResults	DOCUMENT	13	0.01457726
queryResults	DOCUMENT	14	0.16386600
queryResults	DOCUMENT	15	0.12018141
queryResults	DOCUMENT	16	0.09032258
queryResults	DOCUMENT	17	0.00000000
queryResults	DOCUMENT	18	0.05827567
queryResults	DOCUMENT	19	0.05867569
queryResults	DOCUMENT	20	0.33803419
queryResults	DOCUMENT	21	0.00000000
queryResults	DOCUMENT	22	0.04200000
queryResults	DOCUMENT	23	0.04738095
queryResults	DOCUMENT	24	0.08520672
queryResults	DOCUMENT	25	0.03605442
queryResults	DOCUMENT	26	0.20408163
queryResults	DOCUMENT	27	0.00000000
queryResults	DOCUMENT	28	0.11892402
queryResults	DOCUMENT	29	0.00478927
queryResults	DOCUMENT	30	0.02553120
queryResults	DOCUMENT	31	0.00675676
queryResults	DOCUMENT	32	0.03520924
queryResults	DOCUMENT	33	0.05988024
queryResults	DOCUMENT	34	0.01830065
queryResults	DOCUMENT	35	0.07751938
queryResults	DOCUMENT	36	0.04710145
queryResults	DOCUMENT	37	0.08983188
queryResults	DOCUMENT	38	0.12820513
queryResults	DOCUMENT	39	0.00765901
queryResults	DOCUMENT	40	0.11853448
queryResults	DOCUMENT	41	0.16521739
queryResults	DOCUMENT	42	0.03968254
queryResults	DOCUMENT	43	0.09683076
queryResults	DOCUMENT	44	0.04523810
queryResults	DOCUMENT	45	0.01558442
queryResults	DOCUMENT	46	0.04838710
queryResults	DOCUMENT	47	0.11892402
queryResults	DOCUMENT	48	0.09300468
queryResults	DOCUMENT	49	0.06871322
queryResults	DOCUMENT	50	0.07328605
queryResults	DOCUMENT	51	0.08377778
queryResults	DOCUMENT	52	0.02777778
queryResults	DOCUMENT	53	0.00000000
queryResults	DOCUMENT	54	0.09142857
queryResults	DOCUMENT	55	0.06041667
queryResults	DOCUMENT	56	0.02806122
queryResults	DOCUMENT	57	0.01309524
queryResults	DOCUMENT	58	0.00000000
queryResults	DOCUMENT	59	0.05910534
queryResults	DOCUMENT	60	0.01066667
queryResults	DOCUMENT	61	0.00446429
queryResults	DOCUMENT	62	0.01234568
queryResults	DOCUMENT	63	0.00000000
queryResults	DOCUMENT	MAP	0.06813154
