RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.34359162
queryResults	DOCUMENT	201	0.95373377
queryResults	DOCUMENT	202	0.02630033
queryResults	DOCUMENT	203	0.57279641
queryResults	DOCUMENT	204	0.67235332
queryResults	DOCUMENT	205	0.21108241
queryResults	DOCUMENT	206	0.43344418
queryResults	DOCUMENT	207	0.19458015
queryResults	DOCUMENT	208	0.36647700
queryResults	DOCUMENT	209	0.25757007
queryResults	DOCUMENT	210	0.03656702
queryResults	DOCUMENT	211	0.47631319
queryResults	DOCUMENT	212	0.43721893
queryResults	DOCUMENT	213	0.57244409
queryResults	DOCUMENT	214	0.47635734
queryResults	DOCUMENT	215	0.23364474
queryResults	DOCUMENT	216	0.19263793
queryResults	DOCUMENT	217	0.00000000
queryResults	DOCUMENT	218	0.30457425
queryResults	DOCUMENT	219	0.01103438
queryResults	DOCUMENT	220	0.60042271
queryResults	DOCUMENT	221	0.00008662
queryResults	DOCUMENT	222	0.00009607
queryResults	DOCUMENT	223	0.07227078
queryResults	DOCUMENT	224	0.00812616
queryResults	DOCUMENT	225	0.00438596
queryResults	DOCUMENT	226	0.54493875
queryResults	DOCUMENT	227	0.01256121
queryResults	DOCUMENT	228	0.00637714
queryResults	DOCUMENT	229	0.37671406
queryResults	DOCUMENT	230	0.12679082
queryResults	DOCUMENT	231	0.01215063
queryResults	DOCUMENT	232	0.02715690
queryResults	DOCUMENT	233	0.07592718
queryResults	DOCUMENT	234	0.14849353
queryResults	DOCUMENT	235	0.36379099
queryResults	DOCUMENT	MAP	0.25425029
