RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.33816904
queryResults	DOCUMENT	201	0.12604936
queryResults	DOCUMENT	202	0.02756990
queryResults	DOCUMENT	203	0.61674311
queryResults	DOCUMENT	204	0.64871024
queryResults	DOCUMENT	205	0.10708507
queryResults	DOCUMENT	206	0.40227002
queryResults	DOCUMENT	207	0.16051951
queryResults	DOCUMENT	208	0.31778713
queryResults	DOCUMENT	209	0.47925108
queryResults	DOCUMENT	210	0.03529598
queryResults	DOCUMENT	211	0.32276521
queryResults	DOCUMENT	212	0.36234742
queryResults	DOCUMENT	213	0.44290883
queryResults	DOCUMENT	214	0.43838827
queryResults	DOCUMENT	215	0.31498031
queryResults	DOCUMENT	216	0.11813635
queryResults	DOCUMENT	217	0.00986738
queryResults	DOCUMENT	218	0.33843089
queryResults	DOCUMENT	219	0.01043342
queryResults	DOCUMENT	220	0.73055556
queryResults	DOCUMENT	221	0.00001180
queryResults	DOCUMENT	222	0.08347506
queryResults	DOCUMENT	223	0.12727719
queryResults	DOCUMENT	224	0.01075994
queryResults	DOCUMENT	225	0.00000000
queryResults	DOCUMENT	226	0.55010371
queryResults	DOCUMENT	227	0.10442532
queryResults	DOCUMENT	228	0.00009325
queryResults	DOCUMENT	229	0.52218592
queryResults	DOCUMENT	230	0.10826275
queryResults	DOCUMENT	231	0.02628673
queryResults	DOCUMENT	232	0.07637119
queryResults	DOCUMENT	233	0.04987394
queryResults	DOCUMENT	234	0.22934207
queryResults	DOCUMENT	235	0.33259587
queryResults	DOCUMENT	MAP	0.23803691
