RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.33073133
queryResults	DOCUMENT	201	0.92455387
queryResults	DOCUMENT	202	0.01193465
queryResults	DOCUMENT	203	0.56921069
queryResults	DOCUMENT	204	0.56127740
queryResults	DOCUMENT	205	0.21536961
queryResults	DOCUMENT	206	0.34278279
queryResults	DOCUMENT	207	0.07045130
queryResults	DOCUMENT	208	0.28655112
queryResults	DOCUMENT	209	0.65009427
queryResults	DOCUMENT	210	0.03108096
queryResults	DOCUMENT	211	0.47706264
queryResults	DOCUMENT	212	0.47008590
queryResults	DOCUMENT	213	0.41309334
queryResults	DOCUMENT	214	0.44915175
queryResults	DOCUMENT	215	0.31863252
queryResults	DOCUMENT	216	0.13793779
queryResults	DOCUMENT	217	0.00000000
queryResults	DOCUMENT	218	0.36030993
queryResults	DOCUMENT	219	0.01300234
queryResults	DOCUMENT	220	0.84126984
queryResults	DOCUMENT	221	0.00001312
queryResults	DOCUMENT	222	0.07945600
queryResults	DOCUMENT	223	0.35534453
queryResults	DOCUMENT	224	0.00341633
queryResults	DOCUMENT	225	0.02000000
queryResults	DOCUMENT	226	0.51305344
queryResults	DOCUMENT	227	0.00666550
queryResults	DOCUMENT	228	0.01977121
queryResults	DOCUMENT	229	0.37435743
queryResults	DOCUMENT	230	0.15220344
queryResults	DOCUMENT	231	0.01457233
queryResults	DOCUMENT	232	0.02963593
queryResults	DOCUMENT	233	0.03650646
queryResults	DOCUMENT	234	0.13775692
queryResults	DOCUMENT	235	0.12672554
queryResults	DOCUMENT	MAP	0.25955728
