RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	1	0.09543408
queryResults	DOCUMENT	2	0.32614462
queryResults	DOCUMENT	3	0.37318306
queryResults	DOCUMENT	4	0.69026984
queryResults	DOCUMENT	5	0.62485573
queryResults	DOCUMENT	6	0.07149126
queryResults	DOCUMENT	7	0.34259622
queryResults	DOCUMENT	8	0.00657895
queryResults	DOCUMENT	9	0.17757859
queryResults	DOCUMENT	10	0.11342257
queryResults	DOCUMENT	11	0.23213036
queryResults	DOCUMENT	12	0.38212157
queryResults	DOCUMENT	13	0.09197517
queryResults	DOCUMENT	14	0.36753100
queryResults	DOCUMENT	15	0.19653193
queryResults	DOCUMENT	16	0.21252023
queryResults	DOCUMENT	17	0.05631513
queryResults	DOCUMENT	18	0.20477014
queryResults	DOCUMENT	19	0.65567889
queryResults	DOCUMENT	20	0.69551783
queryResults	DOCUMENT	21	0.00023638
queryResults	DOCUMENT	22	0.15299502
queryResults	DOCUMENT	23	0.55016946
queryResults	DOCUMENT	24	0.48412564
queryResults	DOCUMENT	25	0.03926714
queryResults	DOCUMENT	26	0.84286066
queryResults	DOCUMENT	27	0.00000000
queryResults	DOCUMENT	28	0.19154805
queryResults	DOCUMENT	29	0.22962391
queryResults	DOCUMENT	30	0.17930663
queryResults	DOCUMENT	31	0.03678732
queryResults	DOCUMENT	32	0.06730940
queryResults	DOCUMENT	33	0.23545788
queryResults	DOCUMENT	34	0.01861413
queryResults	DOCUMENT	35	0.55725858
queryResults	DOCUMENT	36	0.08400723
queryResults	DOCUMENT	37	0.13604110
queryResults	DOCUMENT	38	0.64303318
queryResults	DOCUMENT	39	0.00669473
queryResults	DOCUMENT	40	0.44023982
queryResults	DOCUMENT	41	0.15036232
queryResults	DOCUMENT	42	0.15737660
queryResults	DOCUMENT	43	0.75433298
queryResults	DOCUMENT	44	0.18929479
queryResults	DOCUMENT	45	0.02719156
queryResults	DOCUMENT	46	0.16473291
queryResults	DOCUMENT	47	0.31801478
queryResults	DOCUMENT	48	0.29700843
queryResults	DOCUMENT	49	0.19125937
queryResults	DOCUMENT	50	0.17594057
queryResults	DOCUMENT	51	0.34206727
queryResults	DOCUMENT	52	0.06411584
queryResults	DOCUMENT	53	0.05957672
queryResults	DOCUMENT	54	0.23384705
queryResults	DOCUMENT	55	0.19497042
queryResults	DOCUMENT	56	0.07912355
queryResults	DOCUMENT	57	0.23341334
queryResults	DOCUMENT	58	0.00000000
queryResults	DOCUMENT	59	0.33163253
queryResults	DOCUMENT	60	0.06533685
queryResults	DOCUMENT	61	0.02384598
queryResults	DOCUMENT	62	0.03902329
queryResults	DOCUMENT	63	0.00017355
queryResults	DOCUMENT	MAP	0.23658514
