RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.35931041
queryResults	DOCUMENT	201	0.51051829
queryResults	DOCUMENT	202	0.00005446
queryResults	DOCUMENT	203	0.60611511
queryResults	DOCUMENT	204	0.57114506
queryResults	DOCUMENT	205	0.18769303
queryResults	DOCUMENT	206	0.34937750
queryResults	DOCUMENT	207	0.11329693
queryResults	DOCUMENT	208	0.33186468
queryResults	DOCUMENT	209	0.31940594
queryResults	DOCUMENT	210	0.03980244
queryResults	DOCUMENT	211	0.46928013
queryResults	DOCUMENT	212	0.45150537
queryResults	DOCUMENT	213	0.44692528
queryResults	DOCUMENT	214	0.51526472
queryResults	DOCUMENT	215	0.35147401
queryResults	DOCUMENT	216	0.16017484
queryResults	DOCUMENT	217	0.00027488
queryResults	DOCUMENT	218	0.25996876
queryResults	DOCUMENT	219	0.07726931
queryResults	DOCUMENT	220	0.91666667
queryResults	DOCUMENT	221	0.00003883
queryResults	DOCUMENT	222	0.08915264
queryResults	DOCUMENT	223	0.38022960
queryResults	DOCUMENT	224	0.00453790
queryResults	DOCUMENT	225	0.02777778
queryResults	DOCUMENT	226	0.60062923
queryResults	DOCUMENT	227	0.01554677
queryResults	DOCUMENT	228	0.00496231
queryResults	DOCUMENT	229	0.19348617
queryResults	DOCUMENT	230	0.10839470
queryResults	DOCUMENT	231	0.01501486
queryResults	DOCUMENT	232	0.02191061
queryResults	DOCUMENT	233	0.03436475
queryResults	DOCUMENT	234	0.12226359
queryResults	DOCUMENT	235	0.14790053
queryResults	DOCUMENT	MAP	0.24454439
