RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.27437119
queryResults	DOCUMENT	201	0.03807565
queryResults	DOCUMENT	202	0.00037472
queryResults	DOCUMENT	203	0.62388323
queryResults	DOCUMENT	204	0.46023658
queryResults	DOCUMENT	205	0.13725833
queryResults	DOCUMENT	206	0.53030246
queryResults	DOCUMENT	207	0.09579932
queryResults	DOCUMENT	208	0.22969434
queryResults	DOCUMENT	209	0.02106267
queryResults	DOCUMENT	210	0.01444030
queryResults	DOCUMENT	211	0.23809634
queryResults	DOCUMENT	212	0.24247814
queryResults	DOCUMENT	213	0.44654351
queryResults	DOCUMENT	214	0.21381016
queryResults	DOCUMENT	215	0.22114672
queryResults	DOCUMENT	216	0.00886855
queryResults	DOCUMENT	217	0.00079491
queryResults	DOCUMENT	218	0.27552311
queryResults	DOCUMENT	219	0.00121409
queryResults	DOCUMENT	220	0.15291400
queryResults	DOCUMENT	221	0.24685992
queryResults	DOCUMENT	222	0.08134921
queryResults	DOCUMENT	223	0.21879346
queryResults	DOCUMENT	224	0.19318519
queryResults	DOCUMENT	225	0.04347826
queryResults	DOCUMENT	226	0.16449785
queryResults	DOCUMENT	227	0.11624684
queryResults	DOCUMENT	228	0.00346027
queryResults	DOCUMENT	229	0.48436300
queryResults	DOCUMENT	230	0.22287070
queryResults	DOCUMENT	231	0.00762697
queryResults	DOCUMENT	232	0.10272815
queryResults	DOCUMENT	233	0.04338497
queryResults	DOCUMENT	234	0.05071715
queryResults	DOCUMENT	235	0.05773722
queryResults	DOCUMENT	MAP	0.17400521
