RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.27842537
queryResults	DOCUMENT	201	0.04962195
queryResults	DOCUMENT	202	0.00026124
queryResults	DOCUMENT	203	0.64078735
queryResults	DOCUMENT	204	0.50304888
queryResults	DOCUMENT	205	0.14122409
queryResults	DOCUMENT	206	0.51753410
queryResults	DOCUMENT	207	0.09045464
queryResults	DOCUMENT	208	0.23437784
queryResults	DOCUMENT	209	0.05446578
queryResults	DOCUMENT	210	0.01402821
queryResults	DOCUMENT	211	0.35712072
queryResults	DOCUMENT	212	0.25947132
queryResults	DOCUMENT	213	0.47470720
queryResults	DOCUMENT	214	0.21091837
queryResults	DOCUMENT	215	0.28026600
queryResults	DOCUMENT	216	0.01605107
queryResults	DOCUMENT	217	0.00226244
queryResults	DOCUMENT	218	0.28619068
queryResults	DOCUMENT	219	0.00574340
queryResults	DOCUMENT	220	0.56026670
queryResults	DOCUMENT	221	0.29176407
queryResults	DOCUMENT	222	0.08730159
queryResults	DOCUMENT	223	0.31605436
queryResults	DOCUMENT	224	0.24754346
queryResults	DOCUMENT	225	0.09090909
queryResults	DOCUMENT	226	0.18257139
queryResults	DOCUMENT	227	0.11800001
queryResults	DOCUMENT	228	0.00429621
queryResults	DOCUMENT	229	0.55759468
queryResults	DOCUMENT	230	0.20645582
queryResults	DOCUMENT	231	0.01068622
queryResults	DOCUMENT	232	0.10541346
queryResults	DOCUMENT	233	0.02062523
queryResults	DOCUMENT	234	0.07054259
queryResults	DOCUMENT	235	0.08304727
queryResults	DOCUMENT	MAP	0.20472313
