RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.33185702
queryResults	DOCUMENT	201	0.81072481
queryResults	DOCUMENT	202	0.00788798
queryResults	DOCUMENT	203	0.57973183
queryResults	DOCUMENT	204	0.61761084
queryResults	DOCUMENT	205	0.18210600
queryResults	DOCUMENT	206	0.44215012
queryResults	DOCUMENT	207	0.08533028
queryResults	DOCUMENT	208	0.33915175
queryResults	DOCUMENT	209	0.02754361
queryResults	DOCUMENT	210	0.02755804
queryResults	DOCUMENT	211	0.42360249
queryResults	DOCUMENT	212	0.48954342
queryResults	DOCUMENT	213	0.46909586
queryResults	DOCUMENT	214	0.47643752
queryResults	DOCUMENT	215	0.25442775
queryResults	DOCUMENT	216	0.14151131
queryResults	DOCUMENT	217	0.00000000
queryResults	DOCUMENT	218	0.28297513
queryResults	DOCUMENT	219	0.00859069
queryResults	DOCUMENT	220	0.52620577
queryResults	DOCUMENT	221	0.00004976
queryResults	DOCUMENT	222	0.04078357
queryResults	DOCUMENT	223	0.03660730
queryResults	DOCUMENT	224	0.00399100
queryResults	DOCUMENT	225	0.02439024
queryResults	DOCUMENT	226	0.62864173
queryResults	DOCUMENT	227	0.03080587
queryResults	DOCUMENT	228	0.02973177
queryResults	DOCUMENT	229	0.45941132
queryResults	DOCUMENT	230	0.12772039
queryResults	DOCUMENT	231	0.00766157
queryResults	DOCUMENT	232	0.02272653
queryResults	DOCUMENT	233	0.08462977
queryResults	DOCUMENT	234	0.13253871
queryResults	DOCUMENT	235	0.26646055
queryResults	DOCUMENT	MAP	0.23389423
