RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.10687010
queryResults	DOCUMENT	201	0.27080480
queryResults	DOCUMENT	202	0.01419623
queryResults	DOCUMENT	203	0.43903955
queryResults	DOCUMENT	204	0.28102269
queryResults	DOCUMENT	205	0.07429015
queryResults	DOCUMENT	206	0.12408770
queryResults	DOCUMENT	207	0.01250965
queryResults	DOCUMENT	208	0.07785157
queryResults	DOCUMENT	209	0.16372481
queryResults	DOCUMENT	210	0.03643416
queryResults	DOCUMENT	211	0.08711211
queryResults	DOCUMENT	212	0.24699482
queryResults	DOCUMENT	213	0.15663451
queryResults	DOCUMENT	214	0.24915233
queryResults	DOCUMENT	215	0.18218398
queryResults	DOCUMENT	216	0.01345377
queryResults	DOCUMENT	217	0.00000000
queryResults	DOCUMENT	218	0.04203724
queryResults	DOCUMENT	219	0.11531207
queryResults	DOCUMENT	220	0.17203298
queryResults	DOCUMENT	221	0.00019730
queryResults	DOCUMENT	222	0.05137197
queryResults	DOCUMENT	223	0.20754176
queryResults	DOCUMENT	224	0.00654457
queryResults	DOCUMENT	225	0.00000000
queryResults	DOCUMENT	226	0.13401993
queryResults	DOCUMENT	227	0.01121176
queryResults	DOCUMENT	228	0.00000000
queryResults	DOCUMENT	229	0.15475708
queryResults	DOCUMENT	230	0.07594391
queryResults	DOCUMENT	231	0.02444892
queryResults	DOCUMENT	232	0.01329425
queryResults	DOCUMENT	233	0.02407494
queryResults	DOCUMENT	234	0.01219471
queryResults	DOCUMENT	235	0.03079671
queryResults	DOCUMENT	MAP	0.10033731
