RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.30502279
queryResults	DOCUMENT	201	0.04990214
queryResults	DOCUMENT	202	0.01662113
queryResults	DOCUMENT	203	0.61909355
queryResults	DOCUMENT	204	0.60661893
queryResults	DOCUMENT	205	0.20364305
queryResults	DOCUMENT	206	0.46285904
queryResults	DOCUMENT	207	0.07288376
queryResults	DOCUMENT	208	0.30676007
queryResults	DOCUMENT	209	0.25202608
queryResults	DOCUMENT	210	0.06223995
queryResults	DOCUMENT	211	0.17978250
queryResults	DOCUMENT	212	0.35482595
queryResults	DOCUMENT	213	0.51278329
queryResults	DOCUMENT	214	0.23098939
queryResults	DOCUMENT	215	0.31549234
queryResults	DOCUMENT	216	0.04980511
queryResults	DOCUMENT	217	0.00128208
queryResults	DOCUMENT	218	0.24377989
queryResults	DOCUMENT	219	0.07945418
queryResults	DOCUMENT	220	0.73661616
queryResults	DOCUMENT	221	0.51684507
queryResults	DOCUMENT	222	0.08452381
queryResults	DOCUMENT	223	0.31596893
queryResults	DOCUMENT	224	0.22385621
queryResults	DOCUMENT	225	0.09090909
queryResults	DOCUMENT	226	0.10929091
queryResults	DOCUMENT	227	0.10150830
queryResults	DOCUMENT	228	0.00290835
queryResults	DOCUMENT	229	0.56778629
queryResults	DOCUMENT	230	0.24257430
queryResults	DOCUMENT	231	0.01134134
queryResults	DOCUMENT	232	0.14362208
queryResults	DOCUMENT	233	0.05172684
queryResults	DOCUMENT	234	0.08500869
queryResults	DOCUMENT	235	0.17463242
queryResults	DOCUMENT	MAP	0.23291622
