RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.18713044
queryResults	DOCUMENT	201	0.03914967
queryResults	DOCUMENT	202	0.01176676
queryResults	DOCUMENT	203	0.42205512
queryResults	DOCUMENT	204	0.31619463
queryResults	DOCUMENT	205	0.11803729
queryResults	DOCUMENT	206	0.22616739
queryResults	DOCUMENT	207	0.02964943
queryResults	DOCUMENT	208	0.12419824
queryResults	DOCUMENT	209	0.15776478
queryResults	DOCUMENT	210	0.03931382
queryResults	DOCUMENT	211	0.18020888
queryResults	DOCUMENT	212	0.28185889
queryResults	DOCUMENT	213	0.50087230
queryResults	DOCUMENT	214	0.29511511
queryResults	DOCUMENT	215	0.18274494
queryResults	DOCUMENT	216	0.03684085
queryResults	DOCUMENT	217	0.00138507
queryResults	DOCUMENT	218	0.20303811
queryResults	DOCUMENT	219	0.02010291
queryResults	DOCUMENT	220	0.42154633
queryResults	DOCUMENT	221	0.27383097
queryResults	DOCUMENT	222	0.06639424
queryResults	DOCUMENT	223	0.14512876
queryResults	DOCUMENT	224	0.19768519
queryResults	DOCUMENT	225	0.02380952
queryResults	DOCUMENT	226	0.16326243
queryResults	DOCUMENT	227	0.04953373
queryResults	DOCUMENT	228	0.00706659
queryResults	DOCUMENT	229	0.38931016
queryResults	DOCUMENT	230	0.18522934
queryResults	DOCUMENT	231	0.01094449
queryResults	DOCUMENT	232	0.10873558
queryResults	DOCUMENT	233	0.04456050
queryResults	DOCUMENT	234	0.10955077
queryResults	DOCUMENT	235	0.18416315
queryResults	DOCUMENT	MAP	0.15984296
