RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.38016964
queryResults	DOCUMENT	201	0.59917171
queryResults	DOCUMENT	202	0.05276709
queryResults	DOCUMENT	203	0.63928200
queryResults	DOCUMENT	204	0.64231101
queryResults	DOCUMENT	205	0.21753597
queryResults	DOCUMENT	206	0.49046492
queryResults	DOCUMENT	207	0.06613926
queryResults	DOCUMENT	208	0.29833064
queryResults	DOCUMENT	209	0.28390505
queryResults	DOCUMENT	210	0.05982580
queryResults	DOCUMENT	211	0.29998040
queryResults	DOCUMENT	212	0.39407093
queryResults	DOCUMENT	213	0.52702212
queryResults	DOCUMENT	214	0.54083314
queryResults	DOCUMENT	215	0.44911324
queryResults	DOCUMENT	216	0.06610892
queryResults	DOCUMENT	217	0.00285820
queryResults	DOCUMENT	218	0.27820091
queryResults	DOCUMENT	219	0.13283983
queryResults	DOCUMENT	220	0.94841270
queryResults	DOCUMENT	221	0.00002425
queryResults	DOCUMENT	222	0.06839051
queryResults	DOCUMENT	223	0.25577471
queryResults	DOCUMENT	224	0.10770677
queryResults	DOCUMENT	225	0.01639344
queryResults	DOCUMENT	226	0.31705082
queryResults	DOCUMENT	227	0.17210481
queryResults	DOCUMENT	228	0.00504741
queryResults	DOCUMENT	229	0.47842102
queryResults	DOCUMENT	230	0.08951378
queryResults	DOCUMENT	231	0.07013172
queryResults	DOCUMENT	232	0.07995282
queryResults	DOCUMENT	233	0.06403529
queryResults	DOCUMENT	234	0.11056590
queryResults	DOCUMENT	235	0.16740851
queryResults	DOCUMENT	MAP	0.26032959
