RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	1	0.15084789
queryResults	DOCUMENT	2	0.36666795
queryResults	DOCUMENT	3	0.44353161
queryResults	DOCUMENT	4	0.58307918
queryResults	DOCUMENT	5	0.59625219
queryResults	DOCUMENT	6	0.18079138
queryResults	DOCUMENT	7	0.42600599
queryResults	DOCUMENT	8	0.00525355
queryResults	DOCUMENT	9	0.25385900
queryResults	DOCUMENT	10	0.12984235
queryResults	DOCUMENT	11	0.25947332
queryResults	DOCUMENT	12	0.68531389
queryResults	DOCUMENT	13	0.23464737
queryResults	DOCUMENT	14	0.23772630
queryResults	DOCUMENT	15	0.32659157
queryResults	DOCUMENT	16	0.31909355
queryResults	DOCUMENT	17	0.10031398
queryResults	DOCUMENT	18	0.33265736
queryResults	DOCUMENT	19	0.75591698
queryResults	DOCUMENT	20	0.62191374
queryResults	DOCUMENT	21	0.04670841
queryResults	DOCUMENT	22	0.13733949
queryResults	DOCUMENT	23	0.34401582
queryResults	DOCUMENT	24	0.56924346
queryResults	DOCUMENT	25	0.09224737
queryResults	DOCUMENT	26	0.77872883
queryResults	DOCUMENT	27	0.03852123
queryResults	DOCUMENT	28	0.30138633
queryResults	DOCUMENT	29	0.35637356
queryResults	DOCUMENT	30	0.31693342
queryResults	DOCUMENT	31	0.08518418
queryResults	DOCUMENT	32	0.07830856
queryResults	DOCUMENT	33	0.27166042
queryResults	DOCUMENT	34	0.04596224
queryResults	DOCUMENT	35	0.70008948
queryResults	DOCUMENT	36	0.04161311
queryResults	DOCUMENT	37	0.31083407
queryResults	DOCUMENT	38	0.66946653
queryResults	DOCUMENT	39	0.07481179
queryResults	DOCUMENT	40	0.43447499
queryResults	DOCUMENT	41	0.15468688
queryResults	DOCUMENT	42	0.12985884
queryResults	DOCUMENT	43	0.76334777
queryResults	DOCUMENT	44	0.27082697
queryResults	DOCUMENT	45	0.03995506
queryResults	DOCUMENT	46	0.18011955
queryResults	DOCUMENT	47	0.41023081
queryResults	DOCUMENT	48	0.36926466
queryResults	DOCUMENT	49	0.17201985
queryResults	DOCUMENT	50	0.16195545
queryResults	DOCUMENT	51	0.28117257
queryResults	DOCUMENT	52	0.06986664
queryResults	DOCUMENT	53	0.02496624
queryResults	DOCUMENT	54	0.26777305
queryResults	DOCUMENT	55	0.20642793
queryResults	DOCUMENT	56	0.04260103
queryResults	DOCUMENT	57	0.20920552
queryResults	DOCUMENT	58	0.00002632
queryResults	DOCUMENT	59	0.28691712
queryResults	DOCUMENT	60	0.09329857
queryResults	DOCUMENT	61	0.07508627
queryResults	DOCUMENT	62	0.06516018
queryResults	DOCUMENT	63	0.00249325
queryResults	DOCUMENT	MAP	0.26953878
