RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.34300199
queryResults	DOCUMENT	201	0.69976539
queryResults	DOCUMENT	202	0.00064165
queryResults	DOCUMENT	203	0.59145576
queryResults	DOCUMENT	204	0.55649105
queryResults	DOCUMENT	205	0.23817977
queryResults	DOCUMENT	206	0.41561255
queryResults	DOCUMENT	207	0.11494657
queryResults	DOCUMENT	208	0.29190236
queryResults	DOCUMENT	209	0.42631032
queryResults	DOCUMENT	210	0.03466260
queryResults	DOCUMENT	211	0.46216351
queryResults	DOCUMENT	212	0.45968655
queryResults	DOCUMENT	213	0.45612508
queryResults	DOCUMENT	214	0.47762083
queryResults	DOCUMENT	215	0.33211329
queryResults	DOCUMENT	216	0.18557497
queryResults	DOCUMENT	217	0.00226244
queryResults	DOCUMENT	218	0.30941070
queryResults	DOCUMENT	219	0.03035673
queryResults	DOCUMENT	220	0.90000000
queryResults	DOCUMENT	221	0.00001211
queryResults	DOCUMENT	222	0.09545815
queryResults	DOCUMENT	223	0.24688464
queryResults	DOCUMENT	224	0.00364625
queryResults	DOCUMENT	225	0.02380952
queryResults	DOCUMENT	226	0.65472509
queryResults	DOCUMENT	227	0.01064817
queryResults	DOCUMENT	228	0.01129169
queryResults	DOCUMENT	229	0.25906675
queryResults	DOCUMENT	230	0.12859909
queryResults	DOCUMENT	231	0.02035454
queryResults	DOCUMENT	232	0.05145953
queryResults	DOCUMENT	233	0.03066498
queryResults	DOCUMENT	234	0.16440244
queryResults	DOCUMENT	235	0.17941926
queryResults	DOCUMENT	MAP	0.25579795
