RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.39192517
queryResults	DOCUMENT	201	0.06134996
queryResults	DOCUMENT	202	0.01646642
queryResults	DOCUMENT	203	0.59707649
queryResults	DOCUMENT	204	0.10575295
queryResults	DOCUMENT	205	0.04879928
queryResults	DOCUMENT	206	0.47064389
queryResults	DOCUMENT	207	0.00505316
queryResults	DOCUMENT	208	0.29167034
queryResults	DOCUMENT	209	0.35697158
queryResults	DOCUMENT	210	0.01330803
queryResults	DOCUMENT	211	0.29448506
queryResults	DOCUMENT	212	0.21340959
queryResults	DOCUMENT	213	0.44824189
queryResults	DOCUMENT	214	0.13743180
queryResults	DOCUMENT	215	0.28478090
queryResults	DOCUMENT	216	0.01967870
queryResults	DOCUMENT	217	0.00027747
queryResults	DOCUMENT	218	0.19871158
queryResults	DOCUMENT	219	0.03646667
queryResults	DOCUMENT	220	0.59414806
queryResults	DOCUMENT	221	0.40486531
queryResults	DOCUMENT	222	0.08452381
queryResults	DOCUMENT	223	0.06040666
queryResults	DOCUMENT	224	0.05145202
queryResults	DOCUMENT	225	0.11111111
queryResults	DOCUMENT	226	0.04968683
queryResults	DOCUMENT	227	0.14632007
queryResults	DOCUMENT	228	0.00415035
queryResults	DOCUMENT	229	0.51247128
queryResults	DOCUMENT	230	0.20976826
queryResults	DOCUMENT	231	0.01606320
queryResults	DOCUMENT	232	0.09654610
queryResults	DOCUMENT	233	0.02586807
queryResults	DOCUMENT	234	0.03683615
queryResults	DOCUMENT	235	0.15977341
queryResults	DOCUMENT	MAP	0.18212477
