RUN	MEASURE	TOPIC	SCORE
queryResults	DOCUMENT	200	0.30502279
queryResults	DOCUMENT	201	0.04990214
queryResults	DOCUMENT	202	0.01662113
queryResults	DOCUMENT	203	0.61427988
queryResults	DOCUMENT	204	0.50225602
queryResults	DOCUMENT	205	0.16666274
queryResults	DOCUMENT	206	0.30590890
queryResults	DOCUMENT	207	0.05750435
queryResults	DOCUMENT	208	0.24835324
queryResults	DOCUMENT	209	0.14604094
queryResults	DOCUMENT	210	0.05710693
queryResults	DOCUMENT	211	0.16445704
queryResults	DOCUMENT	212	0.31858956
queryResults	DOCUMENT	213	0.45510554
queryResults	DOCUMENT	214	0.18528687
queryResults	DOCUMENT	215	0.25439232
queryResults	DOCUMENT	216	0.03916765
queryResults	DOCUMENT	217	0.00092056
queryResults	DOCUMENT	218	0.19047405
queryResults	DOCUMENT	219	0.05387601
queryResults	DOCUMENT	220	0.66474063
queryResults	DOCUMENT	221	0.43489419
queryResults	DOCUMENT	222	0.06046863
queryResults	DOCUMENT	223	0.18937082
queryResults	DOCUMENT	224	0.15367965
queryResults	DOCUMENT	225	0.05263158
queryResults	DOCUMENT	226	0.11341329
queryResults	DOCUMENT	227	0.09353328
queryResults	DOCUMENT	228	0.00270532
queryResults	DOCUMENT	229	0.45098874
queryResults	DOCUMENT	230	0.17939417
queryResults	DOCUMENT	231	0.01104849
queryResults	DOCUMENT	232	0.11671566
queryResults	DOCUMENT	233	0.03850232
queryResults	DOCUMENT	234	0.06762417
queryResults	DOCUMENT	235	0.16036615
queryResults	DOCUMENT	MAP	0.19227794
